applicant,patent_count,sample_count,mainfocus
上海傅利叶智能科技股份有限公司,231,5,上海傅利叶智能科技股份有限公司专注于人形机器人的研发，主要研究方向包括高灵活性的连接组件与下肢结构设计、基于环境感知和数据分析的智能控制方法以及在辅助用药等特定场景下的应用。通过优化机械结构和智能算法，提升机器人在复杂环境中的适应性和功能性。
深圳市优必选科技股份有限公司,189,5,深圳市优必选科技股份有限公司专注于机器人技术领域，主要研究方向包括提高机器人关节校准精度与效率、优化姿态检测算法以增强平衡性和稳定性、开发智能控制方法使机器人能够适应复杂环境如非标准化楼梯的攀爬，并通过低成本视觉处理技术实现动作模仿功能。
广州里工实业有限公司,174,5,广州里工实业有限公司专注于人形机器人技术，主要研究方向包括双臂运动轨迹生成、行走稳定性控制、集群路径规划、充电控制方法以及仿生股骨设计。通过优化运动轨迹、提升行走稳定性和路径规划效率，同时改进充电过程和仿生结构，提高人形机器人的适应性和实用性。
深圳逐际动力科技有限公司,146,5,深圳逐际动力科技有限公司专注于双足机器人和人形机器人的腿部结构设计与运动控制技术，通过优化关节模组、提升抗冲击能力和扭矩控制精度，实现高效低能耗的运动性能。其研究重点在于提高机器人行走稳定性、降低控制难度，并增强结构的可维护性。
人形机器人(上海)有限公司,109,5,人形机器人(上海)有限公司专注于提高人形机器人的灵活性、控制精度和能效。其研究主攻方向包括优化灵巧手的控制算法以提升响应速度与精度，设计轻量化且高自由度的腰髋整合机构，以及开发紧凑型的手指组件来增强末端执行器的灵活性和易维护性。
智元创新(上海)科技股份有限公司,104,5,智元创新专注于多关节机器人技术的研发，包括高效散热的双电机模块设计、自动化绕线机技术改进、精确摩擦参数辨识与补偿方法、仿人机器人下肢装置优化及最小环集合确定方法，以提高机器人运动控制精度和适应性。
华中科技大学,74,5,华中科技大学在机器人领域主要研究方向包括类脑多模态情感识别、液压双足机器人结构设计、高集成度电机模块、伺服驱动系统拓扑优化以及人机协同遥操作与数据采集技术，重点提升机器人的情感交互能力、运动性能、动力效率及远程操控的实时性和安全性。
北京人形机器人创新中心有限公司,72,5,北京人形机器人创新中心有限公司专注于机器人一体化关节设计、运动控制算法优化及腿部机构轻量化。其核心技术包括高集成度的一体化关节，以提升传动精度和空间利用率；基于状态预测奖励的运动控制模型，增强控制稳定性；以及通过优化腿部结构和引入升降辅助装置，提高双足机器人的运动灵活性和任务执行成功率。
哈尔滨工业大学,68,5,哈尔滨工业大学在机器人领域主要研究方向包括仿人机器人的紧凑型头部结构设计、多指手柔性三维力触觉传感器及其检测系统、柔性关节机械臂的阻抗控制方法、内部走油的轮腿式仿人形机器人以及双足机器人整体式结构仿人足脚板系统，重点在于提高机器人的灵活性、适应性和感知能力。
江苏云幕智造科技有限公司,61,5,江苏云幕智造科技有限公司专注于人形机器人在复杂环境下的导航与交互技术，包括基于双目视觉和三维点云的环境感知、位置确认及地图重建，以及动态多障碍避障方法。此外，该公司还致力于通过深度学习提升人形机器人的情感识别与面部表情生成能力，增强人机交互体验。
