id,publication_no,肢体协调规划,监控安全报警,环境模式识别,人机交互输入,图像视觉分析,自主路径规划,仿生关节传动,伺服电机控制,仿生视觉传感,医疗辅助操作,双足移动底盘,仿生双臂系统,头部感知模块,具身智能控制,灵巧末端执行,柔性关节驱动,人机交互接口
1,CN100336633C,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
2,CN100337580C,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,CN100339871C,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4,CN100344419C,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0
5,CN100346941C,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
7,CN100352622C,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
8,CN100364728C,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
10,CN100376364C,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
11,CN100389937C,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
12,CN100398268C,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
13,CN100500358C,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
14,CN100503179C,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
16,CN100504675C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,CN100506495C,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
18,CN100506626C,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
19,CN100544901C,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
20,CN100544904C,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
21,CN100548242C,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
22,CN100551473C,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
23,CN100576248C,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
24,CN100584000C,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,CN100590679C,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26,CN100593001C,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
27,CN100594361C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,CN101022996B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
